creative_id,ad_id,product_id,product_category,advertiser_id,industry
862241,760110,1786,2,39500,322
1014211,891470,\N,12,13119,302
1173863,1027874,1031,2,2336,6
1725184,1493871,2258,2,45169,322
1899318,1640307,\N,18,16764,205
2032927,1757244,38250,17,15120,\N
2073029,1791274,1786,2,36384,322
2081930,1798799,\N,8,15351,\N
2198902,1898111,2258,2,48608,322
2502798,2155455,38847,4,14498,\N
2556703,2201596,23,2,28648,319
2816845,2421620,37933,17,7516,\N
3255755,2800842,2887,2,52263,247
3386299,2914064,23,2,55248,319
3403177,2118485,\N,18,16895,205
3491821,3007026,\N,18,8371,54
3560473,3065742,1243,2,34656,322
3581615,3083678,37243,17,17151,\N
3684862,3171030,\N,18,8371,54
3696597,3180793,1873,2,31365,322
31070,30773,39422,17,13299,\N
39588,37966,1862,2,19451,238
72989,67343,2065,2,25896,238
215041,193314,40071,17,11948,\N
574787,511235,2625,2,13084,248
589886,524312,\N,18,7976,25
765502,676501,154,2,8877,319
1003974,882542,\N,18,34504,47
1150678,1008002,154,2,8877,319
1230094,1076286,39904,17,10172,\N
1457862,1270164,29,2,817,317
1706276,1477751,\N,18,14681,88
1892854,1638619,38743,17,12130,\N
1962706,1698206,41265,17,23664,\N
2189510,1890064,154,2,14002,319
2264105,1953681,37758,4,811,\N
2348342,2024723,\N,18,14682,88
2482695,2138424,154,2,14002,319
2697265,2320452,129,2,20033,6
2728508,2346644,2065,2,32762,238
2741116,2357172,1261,2,6783,6
2800679,2407560,1261,2,19056,6
2800740,2407611,1261,2,19056,6
2907196,2498920,58,2,52640,6
2928770,2517968,1334,2,29402,317
2965543,2549734,\N,7,21701,\N
3029703,2605600,\N,5,19524,295
3321332,2857491,43761,17,55259,\N
4039445,3467430,39856,17,50584,\N
24333,24966,87,2,22885,318
43235,41148,136,2,9706,6
75011,69138,\N,18,22918,319
296145,265971,\N,5,11882,297
350759,314795,\N,8,992,\N
795508,702324,\N,18,13855,54
852327,751113,\N,18,38760,322
883622,778824,\N,18,30920,322
1054434,925792,136,2,2862,6
1203465,1053290,1064,2,35549,238
1248711,1086750,\N,18,31552,322
1296456,1133781,\N,5,17745,288
1384893,1209022,\N,18,15900,28
1416283,1235536,2620,2,46940,322
1470226,1280505,\N,5,13808,203
1471015,1281171,\N,5,13808,203
1635471,1417765,136,2,2862,6
2234921,1929205,\N,18,25144,54
2255072,1946060,2510,2,41693,242
2324908,2005036,\N,18,22178,25
2326983,2006837,136,2,10315,6
2386115,2057065,\N,5,19658,109
2404279,2072059,\N,18,2615,6
2523207,2173089,\N,5,12118,220
2570929,2213812,\N,18,50331,296
2725485,2343843,\N,18,20611,296
2748493,2363763,\N,5,21185,289
3042506,2616003,136,2,13558,6
3364990,2895441,1036,2,8520,319
3552766,3059178,\N,18,25354,8
3804062,3269815,\N,18,13558,6
3849277,3307855,136,2,7540,6
4189888,3594306,\N,18,5551,319
11212,12640,\N,18,8371,54
664972,589761,8495,3,28422,183
731320,646923,\N,18,17627,54
1122285,984157,\N,18,25144,54
1122285,984157,\N,18,25144,54
1271602,1111812,643,3,7115,6
1320331,1154489,29664,3,39260,242
1346445,1176804,\N,18,20441,203
1943813,1682218,\N,18,25144,54
1991587,1722746,\N,18,28879,9
2133563,1842655,\N,18,37156,13
2145436,1852671,643,3,7115,6
2145533,1852761,643,3,7115,6
2639927,2272181,\N,18,14682,293
2851271,2451259,9359,3,1675,247
4062323,3486797,26858,3,58003,60
4266044,3659646,643,3,10925,6
7054,8466,\N,18,2421,1
126311,113724,1367,2,18234,241
409181,365156,\N,18,27144,54
411126,367016,\N,18,8921,28
648402,575608,\N,12,18103,54
1483377,1291294,87,2,22885,318
2069959,1788664,\N,5,14734,221
2634737,2267712,125,2,30481,54
2723246,2342238,\N,5,55274,6
4096991,3516020,23,2,34277,319
5275,6499,\N,18,1263,134
14993,16404,\N,18,1903,1
15155,16559,1268,2,1295,5
63726,59032,1469,2,24721,21
69876,64587,26858,3,878,60
82560,75704,2065,2,25896,238
119202,107703,\N,18,8385,6
305295,274150,\N,18,10989,6
582835,518362,2065,2,32762,238
882346,777689,\N,18,10989,6
939476,827392,1064,2,38428,242
1216557,1064574,643,3,918,6
1303157,1139332,1751,2,27955,238
1360642,1188926,146,2,38038,230
1436207,1252099,17183,8,48407,86
1442706,1257511,1469,2,42106,21
1448310,1262167,\N,5,11896,297
1732376,1500030,2400,2,40575,246
1883314,1630344,9228,3,8555,247
1900119,1644950,\N,8,49264,86
2027356,1746643,2400,2,40575,246
2177352,1879709,1261,2,6783,6
2252506,1943946,\N,5,18786,203
2359530,2034347,14416,8,41173,292
2361327,2035918,1261,2,6783,6
2361397,2035987,1261,2,6783,6
2361397,2035987,1261,2,6783,6
2362272,2036752,\N,5,25590,73
2419283,2084853,26858,3,50890,60
2741077,2357135,1261,2,6783,6
2786839,2396025,23,2,18965,319
2822758,2426739,2031,2,34428,238
3072140,2642189,1261,2,6783,6
3118295,2682951,3316,2,47104,238
3172641,2729769,80,2,10686,238
3319199,2855671,3930,13,21054,247
3320149,2856482,\N,18,21711,134
3358844,2890174,2751,2,35587,238
3514114,3026560,11092,8,33136,217
3521819,3033344,2751,2,35587,238
3673049,3161136,2262,2,54193,238
3730190,3208794,3316,2,47104,238
3813816,3278053,15140,8,43413,86
3860559,3317232,1261,2,6783,6
3861873,3318393,1261,2,6783,6
3933608,3379221,15452,8,43655,192
3971868,3411613,\N,18,14682,6
4139216,3551126,14416,8,41173,292
4289670,3679223,23888,8,60973,202
88325,80848,11372,8,24526,328
296041,265885,2031,2,23188,238
762642,674122,11702,8,21035,329
762642,674122,11702,8,21035,329
819381,722775,10907,8,11482,329
902005,794984,10908,8,11480,329
1217767,1065636,11622,8,25854,329
1217767,1065636,11622,8,25854,329
1217767,1065636,11622,8,25854,329
1537879,1336314,11702,8,21035,329
2076456,1794243,15827,8,45061,328
2171867,1874975,18328,8,22279,326
2241990,1935170,19096,8,23789,326
2270110,1958791,1261,2,42372,6
2361397,2035987,1261,2,6783,6
2729422,2347434,2031,2,20264,238
2822758,2426739,2031,2,34428,238
2822877,2426842,2031,2,34428,238
2936315,2524611,1380,2,26404,238
3042304,2616285,19692,8,21483,329
42577,40546,161,2,18230,231
69204,63976,26858,3,24952,60
71689,66208,\N,18,14681,6
71689,66208,\N,18,14681,6
81006,74359,\N,18,953,158
134938,121278,26858,3,62956,60
197464,177187,26858,3,2367,60
421621,375851,161,2,18230,231
1626693,1410336,87,2,22885,318
3331781,2866446,136,2,52604,6
32571,31960,129,2,22123,6
35568,34446,129,2,22123,6
71688,66207,\N,18,14681,6
71690,66209,\N,18,14681,6
1232816,1078468,\N,18,14681,6
1232816,1078468,\N,18,14681,6
1494599,1300248,1766,2,17442,319
2706828,2328620,1370,2,1132,319
2823222,2427148,\N,18,10990,293
3483750,3000080,\N,8,46634,291
33918,33039,129,2,21451,6
33918,33039,129,2,21451,6
33935,33052,129,2,22126,6
33935,33052,129,2,22126,6
45067,42279,129,2,22125,6
70599,65224,1769,2,13792,319
214927,193206,129,2,23742,6
1387469,1211164,\N,7,1276,\N
2166438,1870287,129,2,51727,6
2422601,2087634,\N,5,15855,291
2533390,2181674,\N,18,52446,36
2622764,2257544,41507,17,13480,\N
3199138,2752411,1380,2,23107,238
11642,13064,1128,2,15965,26
11642,13064,1128,2,15965,26
13567,14991,\N,18,17197,28
13568,14991,\N,18,17197,28
32066,31546,1305,2,13863,319
60688,56260,1862,2,28444,238
94267,85952,1769,2,13792,319
125016,112577,1469,2,28189,21
142732,128210,1036,2,8520,319
230303,206776,41655,17,30122,\N
230303,206776,41655,17,30122,\N
288333,253974,1828,2,17645,322
333570,299617,\N,18,33593,21
358055,321177,\N,18,15922,25
468194,416133,1769,2,13792,319
541592,481793,1769,2,13792,319
636934,565642,1810,2,34801,319
746898,660415,39519,17,32974,\N
793940,700966,1062,2,32594,238
889057,783622,\N,18,1148,149
1110059,973909,\N,18,17197,28
1139141,998657,1567,2,24523,6
1167109,1022036,\N,18,14681,149
1277386,1116977,35,2,12279,26
1599446,1387574,154,2,41733,319
1691027,1464833,1523,2,25,29
1712144,1482850,1862,2,31183,238
2013101,1740735,1862,2,28784,238
2147792,1854671,2400,2,38437,246
2190514,1890923,\N,18,22636,28
2278878,1966184,\N,18,53409,13
2378840,2050903,\N,18,13527,28
2574736,2217055,\N,18,19751,74
2775535,2386669,\N,18,10990,6
3224272,2774112,1244,2,24886,26
3477713,2994707,\N,18,10989,6
3590945,3091660,\N,18,10990,6
3623315,3119391,\N,18,10986,6
3729534,3208236,1249,2,23123,317
3821842,3284594,1873,2,54400,322
3838357,3298578,21998,8,37456,205
3951051,3394080,\N,18,2398,28
3999281,3434031,\N,18,60354,24
4076791,3498960,\N,18,19093,26
4157781,3567000,\N,18,47413,25
4179465,3585436,21470,8,58022,73
7139,8549,8800,3,10603,247
12112,13562,8800,3,20463,247
20049,21079,6291,3,16535,253
51695,48267,29992,3,1959,259
53070,49453,\N,18,18230,232
53070,49453,\N,18,18230,232
83505,76560,1261,2,19056,6
122550,110412,5053,3,18362,253
125666,113151,30709,3,5502,231
125666,113151,30709,3,5502,231
125666,113151,30709,3,5502,231
125666,113151,30709,3,5502,231
125666,113151,30709,3,5502,231
125666,113151,30709,3,5502,231
154864,138861,30709,3,5502,231
244842,220156,\N,18,9058,6
295581,265508,\N,18,14681,6
333762,299764,8987,3,6263,247
390704,348963,\N,18,18230,232
454067,403788,31354,3,2071,247
491847,437940,26858,3,22912,60
531505,472621,9154,3,27401,247
552088,491144,29664,3,28212,242
675360,598765,1769,2,13792,319
760792,672470,1261,2,19056,6
836111,737345,1261,2,10925,6
838585,739379,26858,3,17926,60
1073209,941974,\N,18,9058,6
1073209,941974,\N,18,9058,6
1099969,965237,26858,3,17926,60
1121206,983226,26858,3,24917,60
1135130,995209,26858,3,29869,60
1253146,1096270,\N,18,747,247
1340952,1172177,26858,3,17926,60
1489735,1295919,1261,2,10925,6
1571205,1364255,9154,3,21054,247
1727178,1495580,1261,2,19056,6
1779097,1540576,\N,18,14681,297
1831116,1585394,8518,3,41912,21
1896031,1641387,26858,3,37129,60
1922564,1663973,\N,18,35869,74
2032927,1757244,38250,17,15120,\N
2580186,2221733,\N,18,9058,6
2725574,2344190,29664,3,28212,242
2850324,2450437,39519,17,32974,\N
2915745,2506580,\N,18,14681,6
2915745,2506580,\N,18,14681,6
2979320,2562121,\N,5,14668,147
3482998,2999435,\N,18,14682,3
3674180,3162024,\N,18,747,247
3714119,3195534,\N,18,14682,6
3842420,3302077,9349,3,21079,247
4436813,3804404,8946,3,37106,247
140957,126627,34154,5,20730,294
162488,145819,26858,3,23,60
183689,164693,158,2,32996,322
494676,440366,1674,2,18558,322
519223,461776,\N,18,20748,28
613378,544836,\N,18,22775,28
637764,565767,1674,2,21599,322
650007,577019,\N,18,28135,326
1150735,1008056,\N,18,36698,36
1216557,1064574,643,3,918,6
1254286,1097154,\N,5,21524,82
1792060,1551864,9152,3,47608,248
2056403,1777264,31589,3,24863,104
2145152,1852436,1380,2,26404,238
2145152,1852436,1380,2,26404,238
2373341,2046243,\N,5,1461,217
2481132,2137110,643,3,918,6
2524263,2174003,1674,2,18023,322
2561877,2206046,1261,2,10987,6
2590241,2230269,31589,3,24863,104
2804939,2411406,643,3,918,6
3277259,2819317,\N,18,14421,289
3348355,2881004,\N,18,14681,232
3404491,2930005,33232,5,6480,183
3525872,3036857,\N,18,19751,74
3622355,3118572,26858,3,28874,60
3773707,3244836,\N,18,59814,159
4168244,3575774,1261,2,918,6
4221857,3621895,\N,5,15855,291
4315931,3701242,\N,5,10568,296
29259,29332,143,2,25203,317
40625,38229,129,2,23746,6
214288,192639,1634,2,16636,322
214469,192809,129,2,23745,6
214927,193206,129,2,23742,6
243890,219179,129,2,22126,6
645840,573387,\N,12,18458,302
1081205,948983,\N,18,33237,248
1111160,974838,143,2,41010,317
1505826,1309368,87,2,22885,318
2179290,1881360,107,2,2850,317
2766802,2379186,143,2,25203,317
2988201,2570126,\N,5,14668,147
3374786,2904225,1810,2,36966,319
3466457,2984772,1810,2,45956,319
3540941,3049221,\N,18,14681,202
3916180,3364186,129,2,21451,6
4071332,3494319,143,2,60775,317
69204,63976,26858,3,24952,60
114826,103828,\N,18,9061,54
114840,103839,1370,2,16322,319
170271,152658,1249,2,10761,317
318366,286021,\N,5,19862,6
408464,364543,129,2,24419,6
569079,506024,1370,2,1132,319
569079,506024,1370,2,1132,319
625439,555391,1370,2,1132,319
626345,556190,1370,2,1132,319
664398,589251,1261,2,41347,6
670080,594189,\N,18,8386,6
783522,691985,1261,2,41347,6
783522,691985,1261,2,41347,6
783522,691985,1261,2,41347,6
927601,816975,26858,3,878,58
1449293,1263031,26858,3,24952,60
1904334,1648511,1261,2,41347,6
1904334,1648511,1261,2,41347,6
1963224,1698687,\N,5,14930,326
2059414,1779749,63,2,8380,317
2059839,1780106,63,2,8381,317
2136704,1845313,\N,5,23778,109
2176452,1878930,\N,5,23778,109
2281342,1968274,63,2,19409,317
2323457,2003811,63,2,19409,317
2323457,2003811,63,2,19409,317
2324166,2004418,63,2,19409,317
2409103,2076114,1370,2,16322,319
2697505,2320677,\N,5,40419,116
2814102,2419266,\N,18,2420,6
2914783,2505684,\N,18,1902,6
2954795,2540677,1370,2,1132,319
2956232,2541869,1370,2,1132,319
3030930,2606679,\N,5,33900,147
3038302,2612832,\N,18,38267,36
3049354,2622256,1261,2,41347,6
3054753,2627055,\N,5,14038,86
3161909,2720279,107,2,20689,317
3316755,2853678,\N,5,8740,296
3316782,2853703,\N,5,8740,296
3352524,2884734,\N,5,57488,89
3406784,2932099,1370,2,16322,319
3418899,2942935,32675,5,53531,73
3438064,2959754,\N,5,12151,217
3438120,2959809,\N,5,57488,89
3564195,3068875,\N,5,22829,108
3959003,3400835,8800,3,22364,247
4279715,3670908,\N,5,62415,329
4393585,3767168,\N,5,19683,221
4438296,3805698,\N,5,13265,296
4440834,3807892,63,2,19409,317
66299,61333,1334,2,15494,317
72773,67139,1377,2,10334,5
179839,161310,1334,2,15494,317
361879,326845,\N,16,5163,\N
422565,376603,\N,18,24675,47
441518,392725,87,2,22885,318
441518,392725,87,2,22885,318
1192896,1044058,1261,2,2623,6
1483247,1291177,87,2,22885,318
1626899,1410507,87,2,22885,318
2697688,2320838,143,2,10863,317
2720122,2339623,\N,18,39111,319
3811127,3275828,23,2,19572,319
4176177,3582610,23,2,19572,319
150,147,\N,18,865,234
10170,11630,29299,3,8931,319
11050,12486,\N,18,8385,6
52490,48952,1305,2,13863,319
109156,98916,\N,5,7809,220
193906,174021,27813,3,24933,26
246789,221868,1334,2,19065,317
246789,221868,1334,2,19065,317
273210,245805,\N,5,11820,215
366858,331268,1036,2,36890,319
381023,340478,\N,18,32727,47
422565,376603,\N,18,24675,47
440188,391635,129,2,18562,6
674160,597709,\N,18,27843,47
735405,650503,2924,2,31664,247
878974,774765,\N,5,22716,99
887802,782517,1810,2,21101,319
1094878,960896,2510,2,41673,242
1113951,977220,2031,2,19976,238
1334071,1166253,1375,2,13942,21
1342245,1173285,1380,2,8313,238
1378913,1204618,2819,2,2466,248
1439738,1255065,1334,2,21786,317
1473584,1283290,\N,18,34508,47
1555407,1350925,1380,2,26404,238
1619148,1404037,2031,2,25378,238
1844189,1596735,3093,2,31892,247
1930167,1670471,1989,2,15480,247
2140460,1848402,2676,2,48015,247
2977844,2560783,1963,2,15137,247
3000016,2580186,1064,2,45112,242
3146276,2706847,2031,2,20264,238
3266865,2810435,3920,2,41503,248
3340702,2874078,3335,2,1507,247
3667539,3156524,2510,2,39096,242
3673796,3161716,\N,18,747,247
3974911,3414197,1826,2,39687,247
32384,31821,129,2,22123,6
33944,33062,129,2,21451,6
37605,36260,129,2,24999,6
48246,45187,129,2,20029,6
63342,58690,1036,2,8520,319
89840,82114,1036,2,8520,319
108707,98543,1036,2,8520,319
395892,353574,\N,18,16509,271
625069,555067,1036,2,8520,319
2085566,1801889,129,2,42272,6
2104839,1818252,1674,2,12800,322
2858248,2457304,1261,2,19056,6
3458598,2977776,1036,2,8520,319
3629854,3124917,1873,2,35086,322
37295,36047,1377,2,10334,5
37298,36050,1377,2,10334,5
358087,321204,\N,7,992,\N
588681,523235,\N,18,525,203
2292366,1977564,1660,2,48259,247
2569455,2212622,39519,17,36428,\N
2634537,2267526,32316,5,24911,149
2846902,2447525,23,2,54529,319
3426236,2949412,\N,18,24658,24
4024830,3455501,3201,2,51384,247
19526,20636,\N,12,10986,291
77850,71669,\N,18,17601,40
92062,84088,40803,17,1106,\N
93752,85531,40803,17,1106,\N
118282,106909,42566,17,13476,\N
188642,169244,26858,3,29869,60
498385,443690,26858,3,28874,60
1059710,930357,27190,3,7189,161
1100760,965909,26858,3,31963,60
1216572,1064589,643,3,918,6
2639608,2271896,\N,18,14682,88
2996159,2576879,26858,3,40444,60
3531325,3041366,27006,3,397,161
3992926,3428744,29664,3,28212,242
80346,73812,40798,17,11221,\N
142691,128168,1036,2,8520,319
447694,398076,82,2,22367,319
1104088,968763,129,2,18562,6
1763715,1527201,1261,2,42372,6
1896735,1642011,29433,2,32963,238
2081821,1798703,1810,2,49754,319
2104381,1817894,29433,2,32963,238
2147099,1854104,129,2,42272,6
2220294,1916521,1585,2,20401,261
2325953,2005958,23,2,28719,319
2386462,2057382,1030,2,15844,319
2401197,2069678,1032,2,18408,238
2450160,2110926,129,2,42272,6
2467480,2125860,2258,2,39164,322
2476143,2133031,82,2,22367,319
2529313,2178324,1032,2,7385,238
2546485,2192805,\N,18,22702,230
2606126,2243394,82,2,23354,319
2632823,2266132,58,2,14689,6
2723113,2342126,1064,2,39252,242
2736560,2353319,2031,2,47068,238
2786833,2396021,\N,8,631,296
2898287,2491361,1674,2,21599,322
2941270,2528876,129,2,20033,6
2990790,2572224,1674,2,21599,322
3029224,2605207,1585,2,25119,261
3071204,2641391,\N,18,34916,54
3369942,2899753,1766,2,15736,319
3407534,2932782,1674,2,21452,322
3625681,3121481,107,2,20689,317
3736123,3213798,107,2,20689,317
4012454,3445044,\N,18,6756,322
4310811,3696986,1674,2,21599,322
7648,9067,1334,2,16632,317
9008,10497,\N,18,18500,25
136776,122947,1334,2,14410,317
157180,140916,1268,2,2302,5
274929,247468,1261,2,2623,6
671428,595361,154,2,8877,319
1056382,927489,\N,18,14681,289
1779167,1540642,\N,18,14681,6
1837013,1590613,\N,12,10989,203
2564016,2207908,41445,4,33021,\N
158293,141946,1334,2,8358,317
304111,273081,\N,18,13732,6
652872,579742,\N,18,10125,28
1082424,950009,1836,2,20049,322
1768061,1531009,26976,3,883,183
1791888,1551710,164,2,41149,320
2027357,1746643,2400,2,40575,246
2027357,1746643,2400,2,40575,246
3533988,3043683,\N,18,9058,6
3701384,3184944,1261,2,918,6
3778999,3249282,2400,2,40575,246
3971781,3411549,\N,18,14682,6
4007998,3441310,\N,18,13732,6
4008014,3441322,\N,18,13732,6
4093971,3513543,\N,18,6756,322
75696,69777,5031,3,5836,\N
1145475,1003886,\N,18,9058,6
1284482,1123100,\N,18,14681,6
1748942,1514586,\N,18,14681,297
1752751,1517840,9108,3,47632,319
1816765,1573076,542,3,16689,125
2365555,2039541,\N,18,14681,297
2458090,2117662,\N,18,9058,6
2569455,2212622,39519,17,36428,\N
2623753,2258384,643,3,7026,6
2736112,2352939,39519,17,38079,\N
3232052,2780757,9319,3,51607,254
3296538,2836181,\N,18,47350,47
3435019,2957100,643,3,10988,6
3473609,2991259,\N,18,14682,215
4187731,3592490,\N,18,9058,6
14319,15701,\N,18,1882,134
15156,16560,\N,18,18497,27
27668,27932,\N,18,22918,319
65352,60488,\N,18,22918,319
86337,79026,1769,2,13792,319
90440,82672,\N,18,24414,47
142994,128463,1769,2,13792,319
267775,240680,\N,18,31230,322
304118,273087,\N,18,13732,6
343232,308077,\N,18,862,27
355760,319180,\N,18,31552,322
395157,352909,\N,18,13134,26
434322,386512,\N,18,12724,36
558576,496974,1896,2,30710,238
604957,537314,\N,18,32117,322
694871,615584,1753,2,7272,322
778294,687448,154,2,14002,319
819395,722786,1862,2,21109,238
824566,727557,\N,18,21736,36
824566,727557,\N,18,21736,36
925489,815103,\N,18,40803,36
945937,833173,1351,2,41987,322
945937,833173,1351,2,41987,322
952838,839151,1753,2,37331,322
1056575,927672,154,2,14002,319
1056575,927672,154,2,14002,319
1117970,980531,1261,2,2623,6
1164018,1019290,2640,2,29141,247
1225232,1072127,1944,2,7566,247
1233161,1078774,2400,2,40086,246
1391079,1214192,154,2,14002,319
1398590,1220568,154,2,14002,319
1459339,1271419,2258,2,32104,322
1544440,1341695,\N,18,32349,36
1590817,1380738,154,2,14002,319
1732429,1500075,2400,2,40575,246
1756649,1521158,2045,2,12547,247
1908430,1651972,1261,2,918,6
2027356,1746643,2400,2,40575,246
2192936,1892968,1674,2,17018,322
2204568,1903014,2400,2,40575,246
2213284,1910555,\N,18,35,6
2222109,1918124,\N,18,14681,289
2222109,1918124,\N,18,14681,289
2227217,1922426,1786,2,36384,322
2254157,1945297,\N,18,15242,25
2261141,1951115,1261,2,918,6
2347281,2023790,2258,2,48607,322
2361420,2036009,1261,2,6783,6
2361420,2036009,1261,2,6783,6
2431180,2094965,1567,2,45662,6
2469060,2127227,\N,18,17619,25
2469060,2127227,\N,18,17619,25
2521169,2171257,\N,18,40293,36
2577798,2219564,1261,2,6783,6
2646364,2277723,\N,18,26228,200
2647536,2278728,3410,2,16336,247
2647879,2279008,1862,2,28444,238
2675768,2302543,\N,18,46276,179
2690274,2314765,101,2,889,183
2711768,2332785,1786,2,44679,322
2741073,2357131,1261,2,6783,6
2770947,2382736,1894,2,25554,322
2783026,2392879,1812,2,36172,247
2887629,2482299,2887,2,31074,247
2897727,2490894,2887,2,52260,247
2906630,2498421,\N,5,20162,289
2927855,2517168,1810,2,36976,319
2998018,2553433,\N,18,24043,233
3024120,2600828,1873,2,41209,322
3044860,2618532,1031,2,6675,6
3112086,2677637,1064,2,39230,242
3131733,2679387,\N,18,18665,236
3180411,2736342,\N,5,52470,205
3331038,2865772,1404,2,7725,2
3367633,2897768,154,2,14002,319
3795976,3263142,2103,2,31354,322
3809447,3274395,2510,2,53699,242
3887239,3339321,1810,2,36976,319
311867,280017,\N,18,13732,6
1080226,948158,24,3,1228,5
1443241,1257976,\N,18,14681,6
1528299,1328400,26940,3,40188,57
1779124,1540603,\N,18,14681,6
2293794,1978813,\N,18,14682,6
2293978,1978969,\N,18,14681,6
2694147,2317955,\N,18,33151,25
2697543,2320715,\N,5,22137,73
3358774,2890123,40024,4,52921,\N
4137621,3549757,\N,5,8740,296
681,1029,1334,2,8058,317
304118,273087,\N,18,13732,6
900461,793696,129,2,38388,6
1213778,1062099,39427,4,27215,\N
2222650,1918575,37246,4,45959,\N
2222650,1918575,37246,4,45959,\N
2222650,1918575,37246,4,45959,\N
2294021,1979007,\N,18,14682,6
2425264,2089847,36406,4,32247,\N
2557826,2202528,23,2,21659,\N
2917501,2508112,38690,4,54068,\N
2917501,2508112,38690,4,54068,\N
3048896,2621901,1261,2,918,6
3225047,2774806,1261,2,918,6
3234018,2782360,\N,18,53027,13
3388049,2915606,2258,2,33148,\N
3388052,2915609,2258,2,33148,\N
3397589,2923884,\N,8,1268,326
3509751,3022749,\N,18,14682,6
3528017,3038553,\N,18,14682,6
3533334,3043063,\N,18,14681,6
3674270,3162099,36953,4,50450,\N
3776756,3247454,22278,8,10527,326
3845941,3305081,\N,18,14681,6
3860204,3316946,\N,18,14682,6
4156741,3566125,41825,4,19698,\N
4211342,3612786,40638,4,58351,\N
9985,11441,\N,12,19701,300
19517,20627,\N,12,10986,291
19517,20627,\N,12,10986,291
23235,23972,\N,12,17493,27
27216,27539,\N,12,21199,54
54150,50437,\N,12,10989,202
54150,50437,\N,12,10989,202
54150,50437,\N,12,10989,202
54156,50443,\N,12,10989,202
74271,68470,\N,12,22582,40
80797,74187,\N,12,10986,107
108133,98161,\N,12,10989,291
108133,98161,\N,12,10989,291
108133,98161,\N,12,10989,291
158336,141980,\N,18,28446,40
454028,403752,2022,2,9760,250
624498,554546,\N,12,10986,289
624498,554546,\N,12,10986,289
624498,554546,\N,12,10986,289
648619,575808,\N,12,18103,6
1246760,1090570,\N,18,22291,61
1263154,1104508,\N,18,45990,61
1307153,1142897,\N,12,10986,293
1307203,1142935,\N,12,10989,6
1837000,1590599,\N,12,10989,6
1939886,1678650,\N,12,13732,203
1986854,1718744,\N,18,44865,64
2353377,2029118,\N,12,10986,6
2747433,2362851,\N,18,9058,6
3053823,2626190,1261,2,6783,6
3500568,3014784,\N,12,8371,54
3570911,3074623,\N,12,19701,300
3618942,3115579,\N,12,10990,6
3911058,3359665,\N,5,8742,\N
109090,98858,129,2,18562,6
117819,106480,129,2,24419,6
215461,193691,\N,18,2826,27
551245,490390,161,2,850,231
574754,511202,2625,2,13084,248
1387165,1210900,129,2,18562,6
1408556,1228944,\N,5,22716,99
1634236,1416705,94,2,45735,245
1676245,1452576,2400,2,38357,246
1778113,1539714,\N,18,21897,207
1797665,1556597,154,2,14002,319
1843221,1595898,\N,18,45625,35
2153577,1859538,\N,5,14930,329
2262866,1952598,\N,5,12081,73
2294818,1979732,\N,5,14794,87
2296953,1981536,1261,2,19056,6
2363585,2037922,2400,2,50845,246
2462942,2121843,1268,2,2302,5
2681264,2307242,\N,18,29057,233
2749474,2364615,\N,5,13588,86
2857243,2456415,\N,18,28801,167
